cola_area_media,cola_maxima_peor_caso,cola_media_promedio,cola_p95_promedio,drones_charging_minutes_total_medio,drones_flight_minutes_total_medio,escenario,escenario_etiqueta,factor_demanda_inventario,factor_demanda_organos,inventario_max_peor_min,inventario_p95_medio_min,inventario_p95_peor_min,inventario_p99_medio_min,num_simulaciones,organos_fuera_isquemia_total,organos_on_time_total,organos_p95_medio_min,organos_p95_peor_min,organos_pendientes_por_corte_total,organos_tasa_fuera_isquemia_global_pct,organos_tasa_on_time_global_pct,organos_totales,pedidos_completados_total,pedidos_generados_total,simulaciones_cumplen_estricto,simulaciones_cumplen_isquemia,tasa_servicio_global_pct,tasa_servicio_max_pct,tasa_servicio_media_pct,tasa_servicio_min_pct,tiempo_ejecucion_medio_s,utilizacion_operativa_media_pct,utilizacion_vuelo_media_pct
3.5862872023809524,62.0,3.5862872023809524,15.252499999999964,22171.9,28071.15,estres_1_base,Base,1.0,1.0,2671.0,117.05249999999998,154.0,417.33150000000126,20,0,359,37.4125,46.60000000000001,0,0.0,100.0,359,55517,55589,20,20,99.8704779722607,100.0,99.87100169897414,99.07473309608541,2.356773567199707,6.558459951963242,3.664258302005013
6.438921130952381,95.0,6.438921130952381,25.85,34432.9,43290.05,estres_2_moderado,Moderado,1.5,1.25,1912.0,147.055,214.05000000000018,375.6815000000001,20,0,425,40.347500000000004,49.599999999999994,0,0.0,100.0,425,85836,85902,20,20,99.9231682615073,100.0,99.92326987815322,99.58236658932714,3.812853491306305,10.145539630325814,5.650852391395155
9.702232142857143,103.0,9.702232142857143,36.5,46870.75,58711.4,estres_3_alto,Alto,2.0,1.5,2025.0,156.80499999999992,178.0,364.9909999999998,20,0,549,39.2475,51.25000000000001,0,0.0,100.0,549,116465,116562,20,20,99.91678248485785,100.0,99.91686994207117,99.624445203141,5.507482409477234,13.782131109022556,7.663873224728488
16.96358878968254,200.0,16.96358878968254,62.9,59217.1,73953.35,estres_4_muy_alto,Muy alto,2.5,2.0,1547.0,212.26500000000001,269.5500000000002,453.8675,20,0,737,39.462500000000006,52.0,0,0.0,100.0,737,146979,147092,20,20,99.92317733119408,100.0,99.9232684128028,99.74198804997285,8.631584632396699,17.383360745614034,9.653476138262322
