base_name,battery_percent_final,charging_minutes,current_node_final,deliveries_made,drone_id,escenario,escenario_etiqueta,factor_demanda_inventario,factor_demanda_organos,flight_minutes,minutos_simulacion,role,semilla,simulacion,status_final,utilizacion_operativa_pct,utilizacion_vuelo_pct
Hospital Universitario Infanta Sofía,22.747109407213827,0,Hospital Universitario Puerta de Hierro Majadahonda,1,H016,estres_1_base,Base,1.0,1.0,69,20160,hospital,68,1,available,0.34226190476190477,0.34226190476190477
Hospital Universitario Infanta Sofía,100.0,0,Hospital Universitario Infanta Sofía,0,H017,estres_1_base,Base,1.0,1.0,0,20160,hospital,68,1,available,0.0,0.0
Hospital Universitario José Germain,20.09040196819177,0,Hospital Asociado Universitario Guadarrama,2,H018,estres_1_base,Base,1.0,1.0,52,20160,hospital,68,1,available,0.2579365079365079,0.2579365079365079
Hospital Universitario La Paz,64.5176747189856,0,Hospital Universitario de Getafe,1,H019,estres_1_base,Base,1.0,1.0,21,20160,hospital,68,1,available,0.10416666666666667,0.10416666666666667
Hospital Universitario Príncipe de Asturias,30.80428151298509,0,Hospital Universitario Fundación Alcorcón,3,H020,estres_1_base,Base,1.0,1.0,41,20160,hospital,68,1,available,0.2033730158730159,0.2033730158730159
Hospital Universitario Puerta de Hierro Majadahonda,100.0,0,Hospital Universitario Puerta de Hierro Majadahonda,0,H021,estres_1_base,Base,1.0,1.0,0,20160,hospital,68,1,available,0.0,0.0
Hospital Universitario Puerta de Hierro Majadahonda,100.0,0,Hospital Universitario Puerta de Hierro Majadahonda,0,H022,estres_1_base,Base,1.0,1.0,0,20160,hospital,68,1,available,0.0,0.0
Hospital Universitario Puerta de Hierro Majadahonda,100.0,0,Hospital Universitario Puerta de Hierro Majadahonda,0,H023,estres_1_base,Base,1.0,1.0,0,20160,hospital,68,1,available,0.0,0.0
Hospital Universitario Ramón y Cajal,74.86639970650799,0,Hospital Universitario de Getafe,1,H024,estres_1_base,Base,1.0,1.0,16,20160,hospital,68,1,available,0.07936507936507936,0.07936507936507936
BASE NOROESTE,55.58937387822138,1069,BASE NOROESTE,148,B001,estres_1_base,Base,1.0,1.0,1316,20160,base,69,2,available,11.830357142857142,6.527777777777779
BASE NOROESTE,56.92462486120304,1235,BASE NOROESTE,161,B002,estres_1_base,Base,1.0,1.0,1520,20160,base,69,2,available,13.665674603174601,7.5396825396825395
BASE NORTE CAPITAL,39.200495579262814,2169,BASE NORTE CAPITAL,275,B003,estres_1_base,Base,1.0,1.0,2688,20160,base,69,2,available,24.092261904761905,13.333333333333334
BASE NORTE CAPITAL,100.0,2082,BASE NORTE CAPITAL,290,B004,estres_1_base,Base,1.0,1.0,2546,20160,base,69,2,available,22.956349206349206,12.628968253968253
BASE NORTE CAPITAL,32.46595454875544,2213,BASE NORTE CAPITAL,303,B005,estres_1_base,Base,1.0,1.0,2774,20160,base,69,2,available,24.737103174603174,13.759920634920636
BASE NORTE CAPITAL,36.22448319826285,1788,BASE NORTE CAPITAL,250,B006,estres_1_base,Base,1.0,1.0,2264,20160,base,69,2,available,20.09920634920635,11.230158730158731
BASE NORTE CAPITAL,38.279344793202846,1811,BASE NORTE CAPITAL,254,B007,estres_1_base,Base,1.0,1.0,2252,20160,base,69,2,available,20.153769841269842,11.170634920634921
BASE ESTE CORREDOR,46.27060769498315,686,BASE ESTE CORREDOR,64,B008,estres_1_base,Base,1.0,1.0,866,20160,base,69,2,available,7.698412698412699,4.295634920634921
BASE ESTE CORREDOR,21.85911113726156,1723,BASE ESTE CORREDOR,132,B009,estres_1_base,Base,1.0,1.0,2202,20160,base,69,2,available,19.46924603174603,10.922619047619047
BASE ESTE CORREDOR,55.36803524330878,1266,BASE ESTE CORREDOR,97,B010,estres_1_base,Base,1.0,1.0,1592,20160,base,69,2,available,14.1765873015873,7.896825396825396
BASE ESTE CORREDOR,100.0,961,BASE ESTE CORREDOR,87,B011,estres_1_base,Base,1.0,1.0,1222,20160,base,69,2,available,10.828373015873016,6.061507936507937
BASE SUR FUENLABRADA,76.00257040501813,1792,BASE SUR FUENLABRADA,228,B012,estres_1_base,Base,1.0,1.0,2238,20160,base,69,2,available,19.990079365079367,11.101190476190476
BASE SUR FUENLABRADA,65.61291094774853,1845,BASE SUR FUENLABRADA,252,B013,estres_1_base,Base,1.0,1.0,2264,20160,base,69,2,available,20.381944444444443,11.230158730158731
