base_name,battery_percent_final,charging_minutes,current_node_final,deliveries_made,drone_id,escenario,escenario_etiqueta,factor_demanda_inventario,factor_demanda_organos,flight_minutes,minutos_simulacion,role,semilla,simulacion,status_final,utilizacion_operativa_pct,utilizacion_vuelo_pct
Hospital Universitario Príncipe de Asturias,30.80428151298509,0,Hospital Universitario Fundación Alcorcón,3,H017,estres_1_base,Base,1.0,1.0,41,20160,hospital,68,1,available,0.2033730158730159,0.2033730158730159
Hospital Universitario Puerta de Hierro Majadahonda,100.0,0,Hospital Universitario Puerta de Hierro Majadahonda,0,H018,estres_1_base,Base,1.0,1.0,0,20160,hospital,68,1,available,0.0,0.0
Hospital Universitario Puerta de Hierro Majadahonda,100.0,0,Hospital Universitario Puerta de Hierro Majadahonda,0,H019,estres_1_base,Base,1.0,1.0,0,20160,hospital,68,1,available,0.0,0.0
Hospital Universitario Ramón y Cajal,74.86639970650799,0,Hospital Universitario de Getafe,1,H020,estres_1_base,Base,1.0,1.0,16,20160,hospital,68,1,available,0.07936507936507936,0.07936507936507936
BASE NOROESTE,34.757448409819006,1288,BASE NOROESTE,144,B001,estres_1_base,Base,1.0,1.0,1268,20160,base,69,2,available,12.678571428571427,6.2896825396825395
BASE NOROESTE,100.0,1606,BASE NOROESTE,165,B002,estres_1_base,Base,1.0,1.0,1568,20160,base,69,2,available,15.744047619047619,7.777777777777778
BASE NORTE CAPITAL,100.0,3035,BASE NORTE CAPITAL,334,B003,estres_1_base,Base,1.0,1.0,2990,20160,base,69,2,available,29.885912698412696,14.831349206349206
BASE NORTE CAPITAL,77.61734554504375,3209,BASE NORTE CAPITAL,346,B004,estres_1_base,Base,1.0,1.0,3156,20160,base,69,2,available,31.572420634920633,15.654761904761905
BASE NORTE CAPITAL,23.83142430611254,3167,BASE NORTE CAPITAL,332,B005,estres_1_base,Base,1.0,1.0,3152,20160,base,69,2,available,31.34424603174603,15.634920634920634
BASE NORTE CAPITAL,100.0,3262,BASE NORTE CAPITAL,358,B006,estres_1_base,Base,1.0,1.0,3228,20160,base,69,2,available,32.192460317460316,16.01190476190476
BASE ESTE CORREDOR,21.85911113726156,1615,BASE ESTE CORREDOR,89,B007,estres_1_base,Base,1.0,1.0,1624,20160,base,69,2,available,16.066468253968257,8.055555555555555
BASE ESTE CORREDOR,61.79518432200254,1270,BASE ESTE CORREDOR,86,B008,estres_1_base,Base,1.0,1.0,1256,20160,base,69,2,available,12.529761904761905,6.23015873015873
