escenario,num_simulaciones,tasa_servicio_media_pct,tasa_servicio_min_pct,p95_inventario_medio_min,p95_inventario_max_min,organos_totales,organos_on_time,organos_late,organos_pendientes,tasa_exito_global_organos_pct,simulaciones_con_organos_100,p95_organos_medio_min,p95_organos_max_min,cola_media_promedio,cola_maxima_peor_caso,utilizacion_operativa_media_pct
normal,3,99.37434209669343,98.99497487437185,622.4666666666667,664.4500000000003,48,45,0,3,93.75,1,29.88333333333334,40.400000000000006,17.590112433862434,128,10.62735297110297
alta_demanda,3,97.39538001911933,97.17299578059072,796.3333333333334,928.0,82,80,0,2,97.5609756097561,1,34.666666666666664,44.5,102.73186177248678,220,18.08480870980871
lluvia_alta_demanda,3,97.06975377861914,97.02444208289054,937.8999999999991,1114.5999999999985,82,80,0,2,97.5609756097561,1,35.96666666666667,46.0,116.84758597883598,245,18.607677045177045
baja_demanda_clima_adverso,3,97.0189548732748,96.75977653631284,3908.0333333333333,4018.3,57,55,0,2,96.49122807017544,2,38.71666666666667,46.80000000000001,62.66787367724868,185,8.697991822991824
estres_extremo,3,88.78301974297212,88.58435337945716,3218.7333333333336,3325.8999999999996,91,87,2,2,95.6043956043956,2,626.1166666666675,1804.3000000000022,397.3788855820106,504,16.88401875901876
