escenario_pretty,bloque_horas,cola_media,p10,p90
Moderado,128.0,8.55,1.9500000000000002,18.825000000000003
Moderado,132.0,7.3125,2.425,14.900000000000002
Moderado,136.0,3.9375,0.5,12.05
Moderado,140.0,2.675,0.22500000000000003,4.850000000000001
Moderado,144.0,2.1125,0.0,5.800000000000004
Moderado,148.0,2.825,0.0,6.150000000000002
Moderado,152.0,7.7125,1.975,12.450000000000003
Moderado,156.0,15.9125,5.075,25.800000000000004
Moderado,160.0,18.9625,8.725000000000001,31.75
Moderado,164.0,17.1,6.325,30.500000000000007
Moderado,168.0,5.6875,0.9750000000000001,9.975000000000007
Moderado,172.0,5.55,1.2000000000000002,11.375000000000005
Moderado,176.0,16.175,4.175,26.300000000000004
Moderado,180.0,22.45,6.35,37.12500000000001
Moderado,184.0,8.9125,3.325,17.825000000000003
Moderado,188.0,3.475,0.0,9.775
Moderado,192.0,2.35,0.0,4.900000000000002
Moderado,196.0,3.05,0.25,5.825000000000005
Moderado,200.0,6.0125,1.675,11.825000000000001
Moderado,204.0,7.1375,1.9500000000000002,12.650000000000002
Moderado,208.0,7.9125,1.4500000000000002,15.025000000000004
Moderado,212.0,7.3375,1.975,14.3
Moderado,216.0,4.525,1.3750000000000002,9.775
Moderado,220.0,4.5875,0.22500000000000003,9.375000000000002
Moderado,224.0,15.85,7.825000000000001,25.875
Moderado,228.0,25.35,10.35,40.22500000000001
Moderado,232.0,17.0875,5.35,31.450000000000003
Moderado,236.0,8.05,1.2000000000000002,14.775
Moderado,240.0,3.9,0.0,9.20000000000001
Moderado,244.0,4.1125,0.25,8.925000000000006
Moderado,248.0,6.75,1.475,14.05
Moderado,252.0,9.975,2.75,19.575000000000003
Moderado,256.0,6.8125,1.9000000000000001,13.100000000000005
Moderado,260.0,6.1375,1.225,11.075000000000001
Moderado,264.0,3.4625,0.22500000000000003,6.75
Moderado,268.0,4.7125,0.22500000000000003,10.275
Moderado,272.0,13.2875,5.825,19.300000000000004
Moderado,276.0,25.15,7.7,40.85000000000001
Moderado,280.0,17.225,5.5,25.35000000000001
Moderado,284.0,8.275,1.925,17.775
Moderado,288.0,3.5625,0.0,8.175000000000013
Moderado,292.0,4.375,0.0,11.225000000000003
Moderado,296.0,10.0,1.925,16.475
Moderado,300.0,12.75,2.45,28.550000000000008
Moderado,304.0,8.85,1.25,21.000000000000004
Moderado,308.0,5.4125,0.5,12.650000000000002
Moderado,312.0,3.0125,0.0,7.475000000000003
Moderado,316.0,2.3,0.0,4.450000000000006
Moderado,320.0,8.525,3.475,12.650000000000002
Moderado,324.0,16.6,6.425,35.92500000000001
Moderado,328.0,15.7,7.0,26.575000000000003
Moderado,332.0,10.6125,2.125,23.22500000000001
Alto,0.0,0.0,0.0,0.0
Alto,4.0,0.0,0.0,0.0
Alto,8.0,0.0,0.0,0.0
Alto,12.0,0.0125,0.0,0.0
Alto,16.0,1.9125,0.5,3.7750000000000004
Alto,20.0,2.1375,0.5,4.525
Alto,24.0,1.1125,0.0,2.6000000000000014
Alto,28.0,0.9125,0.0,2.8000000000000007
Alto,32.0,5.0375,1.2000000000000002,9.05
Alto,36.0,31.6125,18.6,46.60000000000001
Alto,40.0,55.875,32.8,84.025
Alto,44.0,70.6875,46.525000000000006,103.47500000000001
Alto,48.0,41.5875,17.825000000000003,64.85000000000001
Alto,52.0,16.975,4.7,29.25000000000002
Alto,56.0,7.4875,3.1,11.775000000000004
Alto,60.0,5.625,1.9000000000000001,10.025000000000004
Alto,64.0,3.9,1.0,7.25
Alto,68.0,3.4125,0.0,7.275
Alto,72.0,3.075,0.0,10.8
Alto,76.0,5.9625,1.5,8.850000000000005
Alto,80.0,25.6375,14.375,36.2
Alto,84.0,61.8375,39.25,86.7
Alto,88.0,69.8,44.95,94.40000000000003
Alto,92.0,51.675,24.7,69.60000000000002
Alto,96.0,18.125,1.9500000000000002,32.00000000000001
Alto,100.0,4.125,0.47500000000000003,10.275000000000004
Alto,104.0,6.775,1.0,10.625000000000005
Alto,108.0,8.2125,3.725,12.575000000000001
Alto,112.0,10.3,1.925,15.650000000000002
Alto,116.0,10.675,2.175,20.600000000000005
Alto,120.0,6.6125,1.725,13.625000000000002
Alto,124.0,6.9125,1.7000000000000002,11.575000000000005
Alto,128.0,24.475,11.325,41.75
Alto,132.0,56.4875,30.9,80.6
Alto,136.0,45.5375,16.075,59.425000000000004
Alto,140.0,17.35,5.2250000000000005,40.275
Alto,144.0,3.8375,0.22500000000000003,7.075000000000001
Alto,148.0,3.6,0.25,6.650000000000016
Alto,152.0,11.45,3.6,20.625000000000007
Alto,156.0,26.0875,10.600000000000001,39.325
Alto,160.0,26.2,13.7,39.925000000000004
Alto,164.0,18.8,7.275,29.925000000000004
Alto,168.0,10.05,1.475,26.075000000000003
Alto,172.0,8.3625,0.9500000000000001,19.775000000000006
Alto,176.0,22.6125,11.65,39.650000000000006
Alto,180.0,30.8625,14.85,48.425000000000004
Alto,184.0,19.9,8.65,31.850000000000005
