escenario_pretty,simulaciones,pedidos_generados,pedidos_completados,pedidos_en_cola,tasa_servicio_pct,tasa_servicio_pct_media_sim,tasa_servicio_pct_p10,tasa_servicio_pct_p90,p95_inventario_min_medio,p95_inventario_min_peor,p99_inventario_min_medio,cola_media,cola_maxima,organos_totales,organos_a_tiempo,organos_fuera_isquemia,organos_pendientes,tasa_exito_organos_pct,p95_organos_min_medio,utilizacion_vuelo_pct,utilizacion_operativa_pct,total_drones_medio,minutos_simulacion
Base,20,55588,55504,84,99.84888824926243,99.8489015127972,99.57709464466221,100.0,157.21250000000003,257.15000000000055,,4.696232638888889,103,359,359,0,0,100.0,37.15500000000001,4.089205473856209,8.14486315359477,34.0,20160
Moderado,20,85903,85820,83,99.90337939303633,99.90359748717952,99.72227991821873,100.0,213.92999999999998,258.8000000000002,,9.820114087301587,126,425,425,0,0,100.0,40.040000000000006,6.312368697478992,12.612942051820728,34.0,20160
Alto,20,116564,116422,142,99.87817851137572,99.87812190886059,99.65787513478509,100.0,284.44000000000005,334.0,,17.815994543650795,149,549,549,0,0,100.0,38.74000000000001,8.559749941643325,17.136634862278246,34.0,20160
Muy alto,20,147009,146426,583,99.60342564060703,99.60383330846587,99.31067842566179,99.89269206230125,487.7375,589.0,,36.39114831349206,227,737,737,0,0,100.0,40.03000000000001,10.7296991713352,21.526632528011202,34.0,20160
