ruta,organos_totales,organos_fuera_isquemia,tiempo_medio_min,incidencias
Hospital Enfermera Isabel Zendal â†’ Hospital Universitario Santa Cristina,1.0,0.0,18.0,0.0
Hospital General Universitario Gregorio Marañón â†’ Hospital Asociado Universitario Guadarrama,1.0,0.0,46.0,0.0
Hospital General Universitario Gregorio Marañón â†’ Hospital Central de la Defensa Gómez Ulla,1.0,0.0,11.0,0.0
Hospital General Universitario Gregorio Marañón â†’ Hospital Enfermera Isabel Zendal,1.0,0.0,7.0,0.0
Hospital General Universitario Gregorio Marañón â†’ Hospital Universitario 12 de Octubre,1.0,0.0,5.0,0.0
Hospital General Universitario Gregorio Marañón â†’ Hospital Universitario Dr. Rodríguez Lafora,1.0,0.0,12.0,0.0
Hospital General Universitario Gregorio Marañón â†’ Hospital Universitario General de Villalba,1.0,0.0,30.0,0.0
Hospital General Universitario Gregorio Marañón â†’ Hospital Universitario Infanta Leonor,1.0,0.0,8.0,0.0
Hospital General Universitario Gregorio Marañón â†’ Hospital Universitario La Paz,1.0,0.0,6.0,0.0
Hospital General Universitario Gregorio Marañón â†’ Hospital Universitario Rey Juan Carlos,1.0,0.0,17.0,0.0
Hospital General Universitario Gregorio Marañón â†’ Hospital Universitario del Henares,1.0,0.0,13.0,0.0
Hospital General Universitario Gregorio Marañón â†’ Hospital Virgen de la Torre,1.0,0.0,8.0,0.0
Hospital Infantil Universitario Niño Jesús â†’ Hospital Asociado Universitario Guadarrama,1.0,0.0,42.0,0.0
Hospital Infantil Universitario Niño Jesús â†’ Hospital Carlos III,1.0,0.0,8.0,0.0
Hospital Infantil Universitario Niño Jesús â†’ Hospital Central de la Defensa Gómez Ulla,1.0,0.0,8.0,0.0
Hospital Infantil Universitario Niño Jesús â†’ Hospital Clínico San Carlos,1.0,0.0,9.0,0.0
Hospital Infantil Universitario Niño Jesús â†’ Hospital Enfermera Isabel Zendal,1.0,0.0,18.0,0.0
Hospital Infantil Universitario Niño Jesús â†’ Hospital Universitario General de Villalba,1.0,0.0,36.0,0.0
Hospital Infantil Universitario Niño Jesús â†’ Hospital Universitario La Paz,1.0,0.0,9.0,0.0
Hospital Infantil Universitario Niño Jesús â†’ Hospital Universitario Príncipe de Asturias,1.0,0.0,28.0,0.0
Hospital Infantil Universitario Niño Jesús â†’ Hospital Universitario Rey Juan Carlos,1.0,0.0,21.0,0.0
Hospital Infantil Universitario Niño Jesús â†’ Hospital Universitario Severo Ochoa,1.0,0.0,9.0,0.0
Hospital Infantil Universitario Niño Jesús â†’ Hospital Universitario de Getafe,1.0,0.0,14.0,0.0
Hospital Infantil Universitario Niño Jesús â†’ Hospital Universitario de Torrejón,1.0,0.0,22.0,0.0
Hospital Infantil Universitario Niño Jesús â†’ Hospital Universitario del Sureste,1.0,0.0,18.0,0.0
Hospital La Fuenfría â†’ Hospital Cantoblanco,1.0,0.0,51.0,0.0
Hospital La Fuenfría â†’ Hospital Carlos III,1.0,0.0,37.0,0.0
Hospital La Fuenfría â†’ Hospital Enfermera Isabel Zendal,1.0,0.0,40.0,0.0
Hospital La Fuenfría â†’ Hospital Universitario 12 de Octubre,1.0,0.0,47.0,0.0
Hospital La Fuenfría â†’ Hospital Universitario Dr. Rodríguez Lafora,1.0,0.0,27.0,0.0
Hospital La Fuenfría â†’ Hospital Universitario Fundación Alcorcón,1.0,0.0,40.0,0.0
Hospital La Fuenfría â†’ Hospital Universitario de Fuenlabrada,1.0,0.0,45.0,0.0
Hospital La Fuenfría â†’ Hospital Universitario de La Princesa,1.0,0.0,40.0,0.0
Hospital La Fuenfría â†’ Hospital Universitario de Móstoles,1.0,0.0,69.0,0.0
Hospital La Fuenfría â†’ Hospital Universitario del Henares,1.0,0.0,47.0,0.0
Hospital Universitario 12 de Octubre â†’ Hospital Asociado Universitario Guadarrama,1.0,0.0,47.0,0.0
Hospital Universitario 12 de Octubre â†’ Hospital Cantoblanco,1.0,0.0,25.0,0.0
Hospital Universitario 12 de Octubre â†’ Hospital Carlos III,1.0,0.0,15.0,0.0
Hospital Universitario 12 de Octubre â†’ Hospital Central de la Defensa Gómez Ulla,1.0,0.0,3.0,0.0
Hospital Universitario 12 de Octubre â†’ Hospital Universitario Dr. Rodríguez Lafora,1.0,0.0,14.0,0.0
Hospital Universitario 12 de Octubre â†’ Hospital Universitario General de Villalba,1.0,0.0,35.0,0.0
Hospital Universitario 12 de Octubre â†’ Hospital Universitario Severo Ochoa,1.0,0.0,12.0,0.0
Hospital Universitario Dr. Rodríguez Lafora â†’ Hospital Cantoblanco,1.0,0.0,5.0,0.0
Hospital Universitario Dr. Rodríguez Lafora â†’ Hospital Central de la Cruz Roja San José y Santa Adela,1.0,0.0,10.0,0.0
Hospital Universitario Dr. Rodríguez Lafora â†’ Hospital Central de la Defensa Gómez Ulla,1.0,0.0,25.0,0.0
Hospital Universitario Dr. Rodríguez Lafora â†’ Hospital Infantil Universitario Niño Jesús,1.0,0.0,13.0,0.0
Hospital Universitario Dr. Rodríguez Lafora â†’ Hospital Universitario 12 de Octubre,1.0,0.0,13.0,0.0
Hospital Universitario Dr. Rodríguez Lafora â†’ Hospital Universitario Infanta Cristina,1.0,0.0,48.0,0.0
Hospital Universitario Dr. Rodríguez Lafora â†’ Hospital Universitario José Germain,1.0,0.0,20.0,0.0
Hospital Universitario Dr. Rodríguez Lafora â†’ Hospital Universitario Príncipe de Asturias,1.0,0.0,23.0,0.0
Hospital Universitario Dr. Rodríguez Lafora â†’ Hospital Universitario de La Princesa,1.0,0.0,19.0,0.0
Hospital Universitario Dr. Rodríguez Lafora â†’ Hospital Universitario del Henares,1.0,0.0,24.0,0.0
Hospital Universitario Dr. Rodríguez Lafora â†’ Hospital Universitario del Sureste,1.0,0.0,31.0,0.0
Hospital Universitario Dr. Rodríguez Lafora â†’ Hospital Virgen de la Torre,1.0,0.0,24.0,0.0
Hospital Universitario Fundación Alcorcón â†’ Hospital Enfermera Isabel Zendal,1.0,0.0,23.0,0.0
Hospital Universitario Fundación Alcorcón â†’ Hospital General Universitario Gregorio Marañón,1.0,0.0,11.0,0.0
Hospital Universitario Fundación Alcorcón â†’ Hospital La Fuenfría,1.0,0.0,33.0,0.0
Hospital Universitario Fundación Alcorcón â†’ Hospital Universitario Dr. Rodríguez Lafora,1.0,0.0,23.0,0.0
Hospital Universitario Fundación Alcorcón â†’ Hospital Universitario Fundación Jiménez Díaz,1.0,0.0,16.0,0.0
Hospital Universitario Fundación Alcorcón â†’ Hospital Universitario Príncipe de Asturias,1.0,0.0,42.0,0.0
Hospital Universitario Fundación Alcorcón â†’ Hospital Universitario de Fuenlabrada,1.0,0.0,10.0,0.0
Hospital Universitario Fundación Alcorcón â†’ Hospital Universitario del Henares,1.0,0.0,26.0,0.0
Hospital Universitario Fundación Alcorcón â†’ Hospital Universitario del Sureste,1.0,0.0,30.0,0.0
Hospital Universitario Fundación Jiménez Díaz â†’ Hospital El Escorial,1.0,0.0,33.0,0.0
Hospital Universitario Fundación Jiménez Díaz â†’ Hospital Infantil Universitario Niño Jesús,1.0,0.0,4.0,0.0
Hospital Universitario Fundación Jiménez Díaz â†’ Hospital Universitario 12 de Octubre,1.0,0.0,11.0,0.0
Hospital Universitario Fundación Jiménez Díaz â†’ Hospital Universitario General de Villalba,1.0,0.0,24.0,0.0
Hospital Universitario Fundación Jiménez Díaz â†’ Hospital Universitario Infanta Sofía,1.0,0.0,16.0,0.0
Hospital Universitario Fundación Jiménez Díaz â†’ Hospital Universitario Santa Cristina,1.0,0.0,3.0,0.0
Hospital Universitario Fundación Jiménez Díaz â†’ Hospital Universitario de Fuenlabrada,1.0,0.0,20.0,0.0
Hospital Universitario General de Villalba â†’ Hospital Carlos III,1.0,0.0,32.0,0.0
Hospital Universitario General de Villalba â†’ Hospital Central de la Defensa Gómez Ulla,1.0,0.0,29.0,0.0
Hospital Universitario General de Villalba â†’ Hospital Clínico San Carlos,1.0,0.0,27.0,0.0
Hospital Universitario General de Villalba â†’ Hospital Enfermera Isabel Zendal,1.0,0.0,31.0,0.0
Hospital Universitario General de Villalba â†’ Hospital General Universitario Gregorio Marañón,1.0,0.0,47.0,0.0
Hospital Universitario General de Villalba â†’ Hospital La Fuenfría,1.0,0.0,14.0,0.0
Hospital Universitario General de Villalba â†’ Hospital Universitario Fundación Jiménez Díaz,1.0,0.0,23.0,0.0
Hospital Universitario General de Villalba â†’ Hospital Universitario José Germain,1.0,0.0,33.0,0.0
Hospital Universitario General de Villalba â†’ Hospital Universitario La Paz,1.0,0.0,24.0,0.0
Hospital Universitario General de Villalba â†’ Hospital Universitario Puerta de Hierro Majadahonda,1.0,0.0,22.0,0.0
Hospital Universitario General de Villalba â†’ Hospital Universitario Ramón y Cajal,1.0,0.0,21.0,0.0
Hospital Universitario General de Villalba â†’ Hospital Universitario Rey Juan Carlos,1.0,0.0,32.0,0.0
Hospital Universitario General de Villalba â†’ Hospital Universitario de Fuenlabrada,1.0,0.0,40.0,0.0
Hospital Universitario General de Villalba â†’ Hospital Universitario de La Princesa,1.0,0.0,30.0,0.0
Hospital Universitario Infanta Cristina â†’ Hospital Carlos III,1.0,0.0,20.0,0.0
Hospital Universitario Infanta Cristina â†’ Hospital Clínico San Carlos,1.0,0.0,37.0,0.0
Hospital Universitario Infanta Cristina â†’ Hospital Universitario Príncipe de Asturias,1.0,0.0,33.0,0.0
Hospital Universitario Infanta Cristina â†’ Hospital Universitario Ramón y Cajal,1.0,0.0,21.0,0.0
Hospital Universitario Infanta Cristina â†’ Hospital Universitario Severo Ochoa,1.0,0.0,9.0,0.0
Hospital Universitario Infanta Elena â†’ Hospital Clínico San Carlos,1.0,0.0,21.0,0.0
Hospital Universitario Infanta Elena â†’ Hospital El Escorial,1.0,0.0,45.0,0.0
Hospital Universitario Infanta Elena â†’ Hospital La Fuenfría,1.0,0.0,47.0,0.0
Hospital Universitario Infanta Elena â†’ Hospital Universitario Dr. Rodríguez Lafora,1.0,0.0,25.0,0.0
Hospital Universitario Infanta Elena â†’ Hospital Universitario Fundación Alcorcón,1.0,0.0,14.0,0.0
Hospital Universitario Infanta Elena â†’ Hospital Universitario Infanta Cristina,1.0,0.0,6.0,0.0
Hospital Universitario Infanta Elena â†’ Hospital Universitario Infanta Sofía,1.0,0.0,27.0,0.0
Hospital Universitario Infanta Elena â†’ Hospital Universitario La Paz,1.0,0.0,21.0,0.0
Hospital Universitario Infanta Elena â†’ Hospital Universitario Príncipe de Asturias,1.0,0.0,30.0,0.0
Hospital Universitario Infanta Elena â†’ Hospital Universitario Ramón y Cajal,1.0,0.0,21.0,0.0
Hospital Universitario Infanta Elena â†’ Hospital Universitario Santa Cristina,1.0,0.0,20.0,0.0
Hospital Universitario Infanta Elena â†’ Hospital Universitario de La Princesa,1.0,0.0,18.0,0.0
Hospital Universitario Infanta Elena â†’ Hospital Universitario del Sureste,1.0,0.0,18.0,0.0
Hospital Universitario Infanta Leonor â†’ Hospital Enfermera Isabel Zendal,1.0,0.0,8.0,0.0
Hospital Universitario Infanta Leonor â†’ Hospital Universitario Dr. Rodríguez Lafora,1.0,0.0,19.0,0.0
Hospital Universitario Infanta Leonor â†’ Hospital Universitario Fundación Jiménez Díaz,1.0,0.0,12.0,0.0
Hospital Universitario Infanta Leonor â†’ Hospital Universitario General de Villalba,1.0,0.0,41.0,0.0
Hospital Universitario Infanta Leonor â†’ Hospital Universitario Infanta Cristina,1.0,0.0,23.0,0.0
Hospital Universitario Infanta Leonor â†’ Hospital Universitario Infanta Elena,1.0,0.0,22.0,0.0
Hospital Universitario Infanta Leonor â†’ Hospital Universitario La Paz,1.0,0.0,12.0,0.0
Hospital Universitario Infanta Leonor â†’ Hospital Universitario Puerta de Hierro Majadahonda,1.0,0.0,15.0,0.0
Hospital Universitario Infanta Leonor â†’ Hospital Universitario de Móstoles,1.0,0.0,28.0,0.0
Hospital Universitario Infanta Leonor â†’ Hospital Universitario del Sureste,1.0,0.0,15.0,0.0
Hospital Universitario Infanta Sofía â†’ Hospital Carlos III,1.0,0.0,17.0,0.0
Hospital Universitario Infanta Sofía â†’ Hospital Clínico San Carlos,1.0,0.0,18.0,0.0
Hospital Universitario Infanta Sofía â†’ Hospital Infantil Universitario Niño Jesús,1.0,0.0,22.0,0.0
Hospital Universitario Infanta Sofía â†’ Hospital Universitario Fundación Jiménez Díaz,1.0,0.0,24.0,0.0
Hospital Universitario Infanta Sofía â†’ Hospital Universitario Santa Cristina,1.0,0.0,16.0,0.0
Hospital Universitario Infanta Sofía â†’ Hospital Universitario Severo Ochoa,1.0,0.0,35.0,0.0
Hospital Universitario Infanta Sofía â†’ Hospital Universitario de Fuenlabrada,1.0,0.0,30.0,0.0
Hospital Universitario Infanta Sofía â†’ Hospital Universitario de Móstoles,1.0,0.0,36.0,0.0
Hospital Universitario Infanta Sofía â†’ Hospital Universitario de Torrejón,1.0,0.0,23.0,0.0
Hospital Universitario Infanta Sofía â†’ Hospital Universitario del Sureste,1.0,0.0,30.0,0.0
Hospital Universitario Infanta Sofía â†’ Hospital Virgen de la Torre,1.0,0.0,21.0,0.0
Hospital Universitario José Germain â†’ Hospital Asociado Universitario Guadarrama,1.0,0.0,47.0,0.0
Hospital Universitario José Germain â†’ Hospital Clínico San Carlos,1.0,0.0,10.0,0.0
Hospital Universitario José Germain â†’ Hospital Universitario Infanta Cristina,1.0,0.0,16.0,0.0
Hospital Universitario José Germain â†’ Hospital Universitario Infanta Elena,1.0,0.0,13.0,0.0
Hospital Universitario José Germain â†’ Hospital Universitario Infanta Leonor,1.0,0.0,11.0,0.0
Hospital Universitario José Germain â†’ Hospital Universitario Ramón y Cajal,1.0,0.0,18.0,0.0
Hospital Universitario José Germain â†’ Hospital Universitario Santa Cristina,1.0,0.0,28.0,0.0
Hospital Universitario José Germain â†’ Hospital Universitario Severo Ochoa,1.0,0.0,10.0,0.0
Hospital Universitario José Germain â†’ Hospital Universitario de Fuenlabrada,1.0,0.0,8.0,0.0
Hospital Universitario José Germain â†’ Hospital Universitario de Getafe,1.0,0.0,4.0,0.0
Hospital Universitario José Germain â†’ Hospital Universitario de La Princesa,1.0,0.0,16.0,0.0
Hospital Universitario José Germain â†’ Hospital Universitario de Móstoles,1.0,0.0,8.0,0.0
Hospital Universitario José Germain â†’ Hospital Universitario de Torrejón,1.0,0.0,25.0,0.0
Hospital Universitario José Germain â†’ Hospital Universitario del Sureste,1.0,0.0,22.0,0.0
Hospital Universitario La Paz â†’ Hospital Asociado Universitario Guadarrama,1.0,0.0,30.0,0.0
Hospital Universitario La Paz â†’ Hospital Carlos III,1.0,0.0,8.0,0.0
Hospital Universitario La Paz â†’ Hospital Central de la Cruz Roja San José y Santa Adela,1.0,0.0,3.0,0.0
Hospital Universitario La Paz â†’ Hospital Clínico San Carlos,1.0,0.0,4.0,0.0
Hospital Universitario La Paz â†’ Hospital Infantil Universitario Niño Jesús,1.0,0.0,6.0,0.0
Hospital Universitario La Paz â†’ Hospital La Fuenfría,1.0,0.0,45.0,0.0
Hospital Universitario La Paz â†’ Hospital Universitario Infanta Elena,1.0,0.0,25.0,0.0
Hospital Universitario La Paz â†’ Hospital Universitario Infanta Leonor,1.0,0.0,9.0,0.0
Hospital Universitario La Paz â†’ Hospital Universitario Puerta de Hierro Majadahonda,1.0,0.0,13.0,0.0
Hospital Universitario La Paz â†’ Hospital Universitario de Getafe,1.0,0.0,19.0,0.0
Hospital Universitario La Paz â†’ Hospital Universitario de Torrejón,1.0,0.0,21.0,0.0
Hospital Universitario Príncipe de Asturias â†’ Hospital Clínico San Carlos,1.0,0.0,22.0,0.0
Hospital Universitario Príncipe de Asturias â†’ Hospital Infantil Universitario Niño Jesús,1.0,0.0,42.0,0.0
Hospital Universitario Príncipe de Asturias â†’ Hospital Universitario Fundación Jiménez Díaz,1.0,0.0,63.0,0.0
Hospital Universitario Príncipe de Asturias â†’ Hospital Universitario Infanta Elena,1.0,0.0,53.0,0.0
Hospital Universitario Príncipe de Asturias â†’ Hospital Universitario Infanta Leonor,1.0,0.0,40.0,0.0
Hospital Universitario Príncipe de Asturias â†’ Hospital Universitario La Paz,1.0,0.0,34.0,0.0
Hospital Universitario Príncipe de Asturias â†’ Hospital Universitario Ramón y Cajal,1.0,0.0,40.0,0.0
Hospital Universitario Príncipe de Asturias â†’ Hospital Universitario Santa Cristina,1.0,0.0,38.0,0.0
Hospital Universitario Príncipe de Asturias â†’ Hospital Universitario del Henares,1.0,0.0,34.0,0.0
Hospital Universitario Príncipe de Asturias â†’ Hospital Universitario del Sureste,1.0,0.0,34.0,0.0
Hospital Universitario Puerta de Hierro Majadahonda â†’ Hospital Carlos III,1.0,0.0,10.0,0.0
Hospital Universitario Puerta de Hierro Majadahonda â†’ Hospital La Fuenfría,1.0,0.0,44.0,0.0
Hospital Universitario Puerta de Hierro Majadahonda â†’ Hospital Universitario Infanta Cristina,1.0,0.0,18.0,0.0
Hospital Universitario Puerta de Hierro Majadahonda â†’ Hospital Universitario Infanta Elena,1.0,0.0,21.0,0.0
Hospital Universitario Puerta de Hierro Majadahonda â†’ Hospital Universitario Infanta Leonor,1.0,0.0,27.0,0.0
Hospital Universitario Puerta de Hierro Majadahonda â†’ Hospital Universitario Severo Ochoa,1.0,0.0,13.0,0.0
Hospital Universitario Puerta de Hierro Majadahonda â†’ Hospital Universitario de Fuenlabrada,1.0,0.0,13.0,0.0
Hospital Universitario Puerta de Hierro Majadahonda â†’ Hospital Universitario de Móstoles,1.0,0.0,10.0,0.0
Hospital Universitario Puerta de Hierro Majadahonda â†’ Hospital Virgen de la Torre,1.0,0.0,17.0,0.0
Hospital Universitario Ramón y Cajal â†’ Hospital Asociado Universitario Guadarrama,1.0,0.0,31.0,0.0
Hospital Universitario Ramón y Cajal â†’ Hospital El Escorial,1.0,0.0,26.0,0.0
Hospital Universitario Ramón y Cajal â†’ Hospital Enfermera Isabel Zendal,1.0,0.0,12.0,0.0
Hospital Universitario Ramón y Cajal â†’ Hospital General Universitario Gregorio Marañón,1.0,0.0,6.0,0.0
Hospital Universitario Ramón y Cajal â†’ Hospital La Fuenfría,1.0,0.0,30.0,0.0
Hospital Universitario Ramón y Cajal â†’ Hospital Universitario Dr. Rodríguez Lafora,1.0,0.0,5.0,0.0
Hospital Universitario Ramón y Cajal â†’ Hospital Universitario Infanta Cristina,1.0,0.0,28.0,0.0
Hospital Universitario Ramón y Cajal â†’ Hospital Universitario Santa Cristina,1.0,0.0,9.0,0.0
Hospital Universitario Ramón y Cajal â†’ Hospital Universitario de Fuenlabrada,1.0,0.0,17.0,0.0
Hospital Universitario Ramón y Cajal â†’ Hospital Universitario de Móstoles,1.0,0.0,19.0,0.0
Hospital Universitario Ramón y Cajal â†’ Hospital Universitario del Sureste,1.0,0.0,26.0,0.0
Hospital Universitario Rey Juan Carlos â†’ Hospital Central de la Cruz Roja San José y Santa Adela,1.0,0.0,22.0,0.0
Hospital Universitario Rey Juan Carlos â†’ Hospital El Escorial,1.0,0.0,30.0,0.0
Hospital Universitario Rey Juan Carlos â†’ Hospital Universitario 12 de Octubre,1.0,0.0,22.0,0.0
Hospital Universitario Rey Juan Carlos â†’ Hospital Universitario Dr. Rodríguez Lafora,1.0,0.0,28.0,0.0
Hospital Universitario Rey Juan Carlos â†’ Hospital Universitario Fundación Jiménez Díaz,1.0,0.0,13.0,0.0
Hospital Universitario Rey Juan Carlos â†’ Hospital Universitario Infanta Leonor,1.0,0.0,23.0,0.0
Hospital Universitario Rey Juan Carlos â†’ Hospital Universitario Príncipe de Asturias,1.0,0.0,44.0,0.0
Hospital Universitario Rey Juan Carlos â†’ Hospital Universitario Puerta de Hierro Majadahonda,1.0,0.0,10.0,0.0
Hospital Universitario Rey Juan Carlos â†’ Hospital Universitario de Fuenlabrada,1.0,0.0,13.0,0.0
Hospital Universitario Rey Juan Carlos â†’ Hospital Universitario de Getafe,1.0,0.0,15.0,0.0
Hospital Universitario Rey Juan Carlos â†’ Hospital Universitario de Torrejón,1.0,0.0,34.0,0.0
Hospital Universitario Rey Juan Carlos â†’ Hospital Universitario del Sureste,1.0,0.0,26.0,0.0
Hospital Universitario Rey Juan Carlos â†’ Hospital Virgen de la Torre,1.0,0.0,29.0,0.0
Hospital Universitario Santa Cristina â†’ Hospital Cantoblanco,1.0,0.0,13.0,0.0
Hospital Universitario Santa Cristina â†’ Hospital Central de la Cruz Roja San José y Santa Adela,1.0,0.0,7.0,0.0
Hospital Universitario Santa Cristina â†’ Hospital Central de la Defensa Gómez Ulla,1.0,0.0,9.0,0.0
Hospital Universitario Santa Cristina â†’ Hospital Universitario 12 de Octubre,1.0,0.0,5.0,0.0
Hospital Universitario Santa Cristina â†’ Hospital Universitario Dr. Rodríguez Lafora,1.0,0.0,9.0,0.0
Hospital Universitario Santa Cristina â†’ Hospital Universitario Príncipe de Asturias,1.0,0.0,24.0,0.0
Hospital Universitario Santa Cristina â†’ Hospital Universitario Ramón y Cajal,1.0,0.0,6.0,0.0
Hospital Universitario Santa Cristina â†’ Hospital Universitario de Getafe,1.0,0.0,11.0,0.0
Hospital Universitario Santa Cristina â†’ Hospital Universitario de La Princesa,1.0,0.0,2.0,0.0
Hospital Universitario Severo Ochoa â†’ Hospital Asociado Universitario Guadarrama,1.0,0.0,39.0,0.0
Hospital Universitario Severo Ochoa â†’ Hospital Carlos III,1.0,0.0,14.0,0.0
Hospital Universitario Severo Ochoa â†’ Hospital Central de la Defensa Gómez Ulla,1.0,0.0,12.0,0.0
Hospital Universitario Severo Ochoa â†’ Hospital Enfermera Isabel Zendal,1.0,0.0,37.0,0.0
Hospital Universitario Severo Ochoa â†’ Hospital Infantil Universitario Niño Jesús,1.0,0.0,10.0,0.0
Hospital Universitario Severo Ochoa â†’ Hospital Universitario Dr. Rodríguez Lafora,1.0,0.0,21.0,0.0
Hospital Universitario Severo Ochoa â†’ Hospital Universitario Fundación Jiménez Díaz,1.0,0.0,15.0,0.0
Hospital Universitario Severo Ochoa â†’ Hospital Universitario Infanta Elena,1.0,0.0,12.0,0.0
Hospital Universitario Severo Ochoa â†’ Hospital Universitario Puerta de Hierro Majadahonda,1.0,0.0,15.0,0.0
Hospital Universitario Severo Ochoa â†’ Hospital Universitario Ramón y Cajal,1.0,0.0,14.0,0.0
Hospital Universitario Severo Ochoa â†’ Hospital Universitario de Móstoles,1.0,0.0,11.0,0.0
Hospital Universitario Severo Ochoa â†’ Hospital Universitario del Sureste,1.0,0.0,18.0,0.0
Hospital Universitario de Fuenlabrada â†’ Hospital Carlos III,1.0,0.0,20.0,0.0
Hospital Universitario de Fuenlabrada â†’ Hospital General Universitario Gregorio Marañón,1.0,0.0,18.0,0.0
Hospital Universitario de Fuenlabrada â†’ Hospital Universitario General de Villalba,1.0,0.0,51.0,0.0
Hospital Universitario de Fuenlabrada â†’ Hospital Universitario Infanta Cristina,1.0,0.0,5.0,0.0
Hospital Universitario de Fuenlabrada â†’ Hospital Universitario Infanta Elena,1.0,0.0,9.0,0.0
Hospital Universitario de Fuenlabrada â†’ Hospital Universitario Santa Cristina,1.0,0.0,17.0,0.0
Hospital Universitario de Fuenlabrada â†’ Hospital Universitario de Getafe,1.0,0.0,5.0,0.0
Hospital Universitario de Getafe â†’ Hospital Asociado Universitario Guadarrama,1.0,0.0,38.0,0.0
Hospital Universitario de Getafe â†’ Hospital Universitario Dr. Rodríguez Lafora,1.0,0.0,19.0,0.0
Hospital Universitario de Getafe â†’ Hospital Universitario Infanta Elena,1.0,0.0,14.0,0.0
Hospital Universitario de Getafe â†’ Hospital Universitario Príncipe de Asturias,1.0,0.0,49.0,0.0
Hospital Universitario de Getafe â†’ Hospital Universitario Rey Juan Carlos,1.0,0.0,8.0,0.0
Hospital Universitario de Getafe â†’ Hospital Universitario de Torrejón,1.0,0.0,26.0,0.0
Hospital Universitario de La Princesa â†’ Hospital Carlos III,1.0,0.0,8.0,0.0
Hospital Universitario de La Princesa â†’ Hospital El Escorial,1.0,0.0,45.0,0.0
Hospital Universitario de La Princesa â†’ Hospital Enfermera Isabel Zendal,1.0,0.0,8.0,0.0
Hospital Universitario de La Princesa â†’ Hospital Universitario 12 de Octubre,1.0,0.0,5.0,0.0
Hospital Universitario de La Princesa â†’ Hospital Universitario Fundación Jiménez Díaz,1.0,0.0,9.0,0.0
Hospital Universitario de La Princesa â†’ Hospital Universitario Infanta Cristina,1.0,0.0,19.0,0.0
Hospital Universitario de La Princesa â†’ Hospital Universitario Infanta Elena,1.0,0.0,23.0,0.0
Hospital Universitario de La Princesa â†’ Hospital Universitario Ramón y Cajal,1.0,0.0,8.0,0.0
Hospital Universitario de La Princesa â†’ Hospital Universitario de Torrejón,1.0,0.0,32.0,0.0
Hospital Universitario de La Princesa â†’ Hospital Universitario del Henares,1.0,0.0,13.0,0.0
Hospital Universitario de La Princesa â†’ Hospital Virgen de la Torre,1.0,0.0,6.0,0.0
Hospital Universitario de Móstoles â†’ Hospital Cantoblanco,1.0,0.0,25.0,0.0
Hospital Universitario de Móstoles â†’ Hospital Central de la Defensa Gómez Ulla,1.0,0.0,18.0,0.0
Hospital Universitario de Móstoles â†’ Hospital Universitario Fundación Alcorcón,1.0,0.0,13.0,0.0
Hospital Universitario de Móstoles â†’ Hospital Universitario Fundación Jiménez Díaz,1.0,0.0,21.0,0.0
Hospital Universitario de Móstoles â†’ Hospital Universitario Infanta Leonor,1.0,0.0,16.0,0.0
Hospital Universitario de Móstoles â†’ Hospital Universitario José Germain,1.0,0.0,16.0,0.0
Hospital Universitario de Móstoles â†’ Hospital Universitario Príncipe de Asturias,1.0,0.0,39.0,0.0
Hospital Universitario de Móstoles â†’ Hospital Universitario Severo Ochoa,1.0,0.0,6.0,0.0
Hospital Universitario de Móstoles â†’ Hospital Universitario de La Princesa,1.0,0.0,16.0,0.0
Hospital Universitario de Móstoles â†’ Hospital Universitario del Sureste,1.0,0.0,33.0,0.0
Hospital Universitario de Torrejón â†’ Hospital Carlos III,1.0,0.0,27.0,0.0
Hospital Universitario de Torrejón â†’ Hospital Central de la Cruz Roja San José y Santa Adela,1.0,0.0,21.0,0.0
Hospital Universitario de Torrejón â†’ Hospital Central de la Defensa Gómez Ulla,1.0,0.0,28.0,0.0
Hospital Universitario de Torrejón â†’ Hospital Clínico San Carlos,1.0,0.0,22.0,0.0
Hospital Universitario de Torrejón â†’ Hospital Infantil Universitario Niño Jesús,1.0,0.0,30.0,0.0
Hospital Universitario de Torrejón â†’ Hospital Universitario Dr. Rodríguez Lafora,1.0,0.0,15.0,0.0
Hospital Universitario de Torrejón â†’ Hospital Universitario Fundación Alcorcón,1.0,0.0,34.0,0.0
Hospital Universitario de Torrejón â†’ Hospital Universitario Puerta de Hierro Majadahonda,1.0,0.0,38.0,0.0
Hospital Universitario de Torrejón â†’ Hospital Universitario Rey Juan Carlos,1.0,0.0,39.0,0.0
Hospital Universitario de Torrejón â†’ Hospital Universitario Santa Cristina,1.0,0.0,29.0,0.0
Hospital Universitario de Torrejón â†’ Hospital Universitario de Fuenlabrada,1.0,0.0,31.0,0.0
Hospital Universitario de Torrejón â†’ Hospital Universitario de La Princesa,1.0,0.0,29.0,0.0
Hospital Universitario de Torrejón â†’ Hospital Universitario del Henares,1.0,0.0,19.0,0.0
Hospital Universitario del Henares â†’ Hospital Cantoblanco,1.0,0.0,21.0,0.0
Hospital Universitario del Henares â†’ Hospital El Escorial,1.0,0.0,46.0,0.0
Hospital Universitario del Henares â†’ Hospital Enfermera Isabel Zendal,1.0,0.0,17.0,0.0
Hospital Universitario del Henares â†’ Hospital Universitario Dr. Rodríguez Lafora,1.0,0.0,35.0,0.0
Hospital Universitario del Henares â†’ Hospital Universitario Fundación Alcorcón,1.0,0.0,31.0,0.0
