escenario,bloque_dia,cola_media,cola_p10,cola_p90
Base,0.0,0.0,0.0,0.0
Base,0.5,0.0,0.0,0.0
Base,1.0,0.0,0.0,0.0
Base,7.5,11.777272727272727,5.918181818181818,16.35454545454546
Base,7.0,8.046153846153846,2.684615384615385,11.530769230769234
Base,6.5,9.154545454545454,4.763636363636364,16.190909090909095
Base,14.0,9.066666666666666,2.8000000000000003,17.750000000000004
Base,13.5,6.577272727272728,2.9545454545454546,11.10909090909091
Base,13.0,3.453846153846154,0.9076923076923078,6.6000000000000005
Base,12.5,3.036363636363636,0.9636363636363637,5.509090909090915
Base,12.0,1.7384615384615383,0.14615384615384616,4.6692307692307695
Base,11.5,4.136363636363636,1.3545454545454545,7.118181818181821
Base,11.0,4.9230769230769225,1.976923076923077,8.00769230769231
Base,10.5,12.459090909090909,5.345454545454545,18.509090909090915
Base,10.0,4.815384615384615,1.4461538461538461,8.600000000000005
Base,9.5,6.081818181818182,2.1636363636363636,11.60909090909091
Base,9.0,2.4192307692307695,0.15384615384615385,4.669230769230774
Base,8.5,3.05,0.8727272727272728,5.900000000000001
Base,8.0,4.323076923076924,0.38461538461538464,12.138461538461543
Base,3.5,21.37727272727273,9.527272727272727,37.51818181818182
Base,3.0,3.5884615384615386,1.376923076923077,5.838461538461541
Base,2.5,2.004545454545455,0.45454545454545453,3.6909090909090914
Base,6.0,2.4076923076923076,0.5307692307692308,4.100000000000002
Base,5.5,2.0227272727272725,0.6272727272727273,4.281818181818181
Base,5.0,1.2846153846153847,0.06923076923076925,3.1461538461538474
Base,4.5,2.95,1.3,5.463636363636364
Base,4.0,7.142307692307692,3.1153846153846154,12.253846153846156
Base,1.5,0.33181818181818185,0.09090909090909091,0.6727272727272733
Base,2.0,0.9923076923076923,0.21538461538461542,1.9769230769230788
Moderado,0.0,0.0,0.0,0.0
Moderado,0.5,0.0,0.0,0.0
Moderado,1.0,0.2692307692307693,0.0,0.4923076923076928
Moderado,2.0,5.680769230769231,1.7615384615384615,8.26153846153848
Moderado,1.5,2.6363636363636362,1.4454545454545455,3.6545454545454548
Moderado,2.5,45.79545454545455,34.981818181818184,60.56363636363637
Moderado,9.0,5.773076923076923,1.9846153846153847,9.338461538461543
Moderado,8.5,6.468181818181819,2.6999999999999997,10.2
Moderado,8.0,3.6230769230769235,0.8461538461538461,6.261538461538462
Moderado,7.5,16.57272727272727,8.445454545454545,24.672727272727276
Moderado,7.0,11.407692307692308,4.830769230769231,16.961538461538463
Moderado,6.5,11.968181818181819,5.745454545454546,15.936363636363636
Moderado,14.0,12.441666666666666,4.25,22.933333333333337
Moderado,13.5,12.26818181818182,5.554545454545455,22.681818181818187
Moderado,13.0,4.296153846153846,1.7615384615384615,8.784615384615385
Moderado,12.5,10.513636363636364,3.881818181818182,20.990909090909092
Moderado,12.0,7.188461538461539,3.269230769230769,11.630769230769236
Moderado,11.5,17.73181818181818,11.272727272727273,25.963636363636372
Moderado,11.0,5.0346153846153845,1.8384615384615386,10.807692307692312
Moderado,10.5,7.763636363636364,3.2636363636363637,12.645454545454546
Moderado,10.0,7.030769230769231,1.830769230769231,13.784615384615387
