escenario,tipo_dron,drones_simulacion,vuelo_min,recarga_min,operativo_min,tiempo_disponible_min,utilizacion_vuelo_pct,utilizacion_operativa_pct
Base,Hospitalarios,480,6661.0,855.0,7516.0,9676800,0.06883473875661375,0.07767030423280423
Base,Base,280,554762.0,442583.0,997345.0,5644800,9.827841553287982,17.668385062358276
Moderado,Hospitalarios,480,8093.0,1294.0,9387.0,9676800,0.08363301917989417,0.09700520833333333
Moderado,Base,280,857708.0,687364.0,1545072.0,5644800,15.194657029478458,27.37159863945578
Alto,Base,280,1164146.0,935676.0,2099822.0,5644800,20.623334750566894,37.19922760770975
Alto,Hospitalarios,480,10082.0,1739.0,11821.0,9676800,0.10418733465608467,0.12215815145502645
Muy alto,Base,280,1465024.0,1180004.0,2645028.0,5644800,25.95351473922902,46.857780612244895
Muy alto,Hospitalarios,480,14043.0,4338.0,18381.0,9676800,0.1451202876984127,0.18994915674603174
